"table_name","column_name","data_type","is_nullable","column_default"
"statuses","id","uuid","NO","gen_random_uuid()"
"statuses","module","character varying","NO",NULL
"statuses","name","character varying","NO",NULL
"statuses","description","text","YES",NULL
"statuses","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"ticket_activities","id","uuid","NO","gen_random_uuid()"
"ticket_activities","ticket_id","uuid","NO",NULL
"ticket_activities","created_by","uuid","NO",NULL
"ticket_activities","comment","text","NO",NULL
"ticket_activities","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"ticket_activities","activity_type_id","uuid","YES",NULL
"ticket_configuration_items","id","uuid","NO","gen_random_uuid()"
"ticket_configuration_items","ticket_id","uuid","NO",NULL
"ticket_configuration_items","ci_id","uuid","NO",NULL
"ticket_configuration_items","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"ticket_configuration_items","relationship_type_id","uuid","YES",NULL
"ticket_types","id","uuid","NO","gen_random_uuid()"
"ticket_types","name","character varying","NO",NULL
"ticket_types","description","text","YES",NULL
"ticket_types","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"tickets","id","uuid","NO","gen_random_uuid()"
"tickets","organization_id","uuid","NO",NULL
"tickets","created_by","uuid","NO",NULL
"tickets","assigned_to","uuid","YES",NULL
"tickets","department_id","uuid","YES",NULL
"tickets","ticket_number","character varying","NO",NULL
"tickets","title","character varying","NO",NULL
"tickets","description","text","YES",NULL
"tickets","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"tickets","updated_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"tickets","status_id","uuid","YES",NULL
"tickets","ticket_type_id","uuid","YES",NULL
"tickets","priority_id","uuid","YES",NULL
"users","id","uuid","NO","gen_random_uuid()"
"users","organization_id","uuid","NO",NULL
"users","role_id","uuid","NO",NULL
"users","department_id","uuid","YES",NULL
"users","name","character varying","NO",NULL
"users","email","character varying","NO",NULL
"users","password_hash","text","NO",NULL
"users","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"users","updated_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
